report_time,facility_name,wait_time,times_unavailable
2026-08-01 01:40:00.000000,South Health Campus,371,0
2026-08-01 01:40:00.000000,Stollery Children's Hospital,242,0
2026-08-01 01:40:00.000000,Strathcona Community Hospital,298,0
2026-08-01 01:40:00.000000,Sturgeon Community Hospital,380,0
2026-08-01 01:40:00.000000,University of Alberta Hospital,223,0
2026-08-01 01:40:00.000000,WestView Health Centre,447,0
2026-08-01 01:50:00.000000,Airdrie Community Health Centre,404,0
2026-08-01 01:50:00.000000,Alberta Children's Hospital,63,0
2026-08-01 01:50:00.000000,Chinook Regional Hospital,175,0
2026-08-01 01:50:00.000000,Cochrane Community Health Centre,,0
2026-08-01 01:50:00.000000,Devon General Hospital,127,0
2026-08-01 01:50:00.000000,Foothills Medical Centre,375,0
2026-08-01 01:50:00.000000,Fort Sask Community Hospital,178,0
2026-08-01 01:50:00.000000,Grande Prairie Regional Hospital,61,0
2026-08-01 01:50:00.000000,Grey Nuns Community Hospital,330,0
2026-08-01 01:50:00.000000,Innisfail Health Centre,,1
2026-08-01 01:50:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 01:50:00.000000,Leduc Community Hospital,164,0
2026-08-01 01:50:00.000000,Medicine Hat Regional Hospital,291,0
2026-08-01 01:50:00.000000,Misericordia Community Hospital,342,0
2026-08-01 01:50:00.000000,Northeast Community Health Centre,274,0
2026-08-01 01:50:00.000000,Northern Lights Regional Health Centre,30,0
2026-08-01 01:50:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 01:50:00.000000,Peter Lougheed Centre,460,0
2026-08-01 01:50:00.000000,Red Deer Regional Hospital,161,0
2026-08-01 01:50:00.000000,Rockyview General Hospital,367,0
2026-08-01 01:50:00.000000,Royal Alexandra Hospital,351,0
2026-08-01 01:50:00.000000,Sheldon M. Chumir Centre,366,0
2026-08-01 01:50:00.000000,South Calgary Health Centre,,0
2026-08-01 01:50:00.000000,South Health Campus,351,0
2026-08-01 01:50:00.000000,Stollery Children's Hospital,235,0
2026-08-01 01:50:00.000000,Strathcona Community Hospital,266,0
2026-08-01 01:50:00.000000,Sturgeon Community Hospital,305,0
2026-08-01 01:50:00.000000,University of Alberta Hospital,230,0
2026-08-01 01:50:00.000000,WestView Health Centre,412,0
2026-08-01 02:00:00.000000,Airdrie Community Health Centre,404,0
2026-08-01 02:00:00.000000,Alberta Children's Hospital,91,0
2026-08-01 02:00:00.000000,Chinook Regional Hospital,181,0
2026-08-01 02:00:00.000000,Cochrane Community Health Centre,,0
2026-08-01 02:00:00.000000,Devon General Hospital,127,0
2026-08-01 02:00:00.000000,Foothills Medical Centre,383,0
2026-08-01 02:00:00.000000,Fort Sask Community Hospital,143,0
2026-08-01 02:00:00.000000,Grande Prairie Regional Hospital,61,0
2026-08-01 02:00:00.000000,Grey Nuns Community Hospital,330,0
2026-08-01 02:00:00.000000,Innisfail Health Centre,,1
2026-08-01 02:00:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 02:00:00.000000,Leduc Community Hospital,164,0
2026-08-01 02:00:00.000000,Medicine Hat Regional Hospital,291,0
2026-08-01 02:00:00.000000,Misericordia Community Hospital,315,0
2026-08-01 02:00:00.000000,Northeast Community Health Centre,264,0
2026-08-01 02:00:00.000000,Northern Lights Regional Health Centre,30,0
2026-08-01 02:00:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 02:00:00.000000,Peter Lougheed Centre,458,0
2026-08-01 02:00:00.000000,Red Deer Regional Hospital,144,0
2026-08-01 02:00:00.000000,Rockyview General Hospital,369,0
2026-08-01 02:00:00.000000,Royal Alexandra Hospital,346,0
2026-08-01 02:00:00.000000,Sheldon M. Chumir Centre,377,0
2026-08-01 02:00:00.000000,South Calgary Health Centre,,0
2026-08-01 02:00:00.000000,South Health Campus,355,0
2026-08-01 02:00:00.000000,Stollery Children's Hospital,242,0
2026-08-01 02:00:00.000000,Strathcona Community Hospital,276,0
2026-08-01 02:00:00.000000,Sturgeon Community Hospital,325,0
2026-08-01 02:00:00.000000,University of Alberta Hospital,221,0
2026-08-01 02:00:00.000000,WestView Health Centre,412,0
2026-08-01 02:10:00.000000,Airdrie Community Health Centre,401,0
2026-08-01 02:10:00.000000,Alberta Children's Hospital,100,0
2026-08-01 02:10:00.000000,Chinook Regional Hospital,184,0
2026-08-01 02:10:00.000000,Cochrane Community Health Centre,,0
2026-08-01 02:10:00.000000,Devon General Hospital,127,0
2026-08-01 02:10:00.000000,Foothills Medical Centre,402,0
2026-08-01 02:10:00.000000,Fort Sask Community Hospital,143,0
2026-08-01 02:10:00.000000,Grande Prairie Regional Hospital,61,0
2026-08-01 02:10:00.000000,Grey Nuns Community Hospital,307,0
2026-08-01 02:10:00.000000,Innisfail Health Centre,,1
2026-08-01 02:10:00.000000,Lacombe Hospital and Care Centre,,1
2026-08-01 02:10:00.000000,Leduc Community Hospital,164,0
2026-08-01 02:10:00.000000,Medicine Hat Regional Hospital,288,0
2026-08-01 02:10:00.000000,Misericordia Community Hospital,289,0
2026-08-01 02:10:00.000000,Northeast Community Health Centre,254,0
2026-08-01 02:10:00.000000,Northern Lights Regional Health Centre,31,0
2026-08-01 02:10:00.000000,Okotoks Health and Wellness Centre,,0
2026-08-01 02:10:00.000000,Peter Lougheed Centre,461,0
2026-08-01 02:10:00.000000,Red Deer Regional Hospital,147,0
